Part Code,Desc1,Desc2,HS Code,Cli Code,Vend Code,COE,TT,Cust Ctry,TaxRefNum,Annex,Part Group,AD Code,AD Rate,AD Rate Type,AD UOM Code,Part Type Code,Vend Price,Sls UOM Code,Exc Tax Ref Num,Part Category,Ext Fibre Coverage,Weight,Weight UOM,IP Comm Code,IP Cat Code,IP Agr Code,IP from US/MX,Blank,Rulling#,Cert Org Code,Cert Eff Date,Cert Exp Date,Def Proj Code,Stocking#,COO Code,OIC Rem Num,Part Class Code,Cert Type,Part ID,Spec Handling,Stocking%,Last Used Date,Qty/Pkg,TPL Possible,Part Note,Cert Sts,Duty Rate,Duty Type,OGD Code,OGD Sub Type,VFD Code,Vendor Part#,Client Part#,Airs Req Id,Airs Req Ver,Airs Code,End Use,Airs Misc Id,Prod Model,Prod Model Num,Prod Type Size,Prod Brand,Reason Imp Code,Compl Lbl Code,Compl Tire Code,Tiin Code,AD Rate2,AD Rate2 Type,AD Currency,HS Code Eff Date,HS Code Exp Date,Annex Code Eff Date,Annex Code Exp Date,Qty Conv UoM From,Qty Conv UoM To,Qty Conv UoM Factor,Qty Conv Description,Product Make,Assist Value,Assist Type (%/Amt),Assist Currency,Updated By,Updated Time
SEA03CB,The Seasons Blanket in White,The Seasons Blanket in White,630231,,,,,,,,,,,,,,22.25,,,,,,,,,,,,,630231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHR01BL,The Blue Shoreline,The Blue Shoreline,630291,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHR02TN,The Tan Shoreline,The Tan Shoreline,630291,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHR03CL,The Colorful Shoreline,The Colorful Shoreline,630291,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMP01NV,The Navy Simple,The Navy Simple,630291,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMP02ST,The Stone Simple,The Stone Simple,630291,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMP03AQ,The Blue Simple,The Blue Simple,630291,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMP04PN,The Pink Simple,The Pink Simple,630291,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMP05YW,The Yellow Simple,The Yellow Simple,630291,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMP06MR,The Maroon Simple,The Maroon Simple,630291,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL01WT,The White Solana,The White Solana,630291,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPT01YL,The Yellow Spots,The Yellow Spots,630291,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPT02GL,The Golden Spots,The Golden Spots,630291,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPT03ST,The Stone Spots,The Stone Spots,630291,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPT04GR,The Green Spots,The Green Spots,630291,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STN01BK,The Stone Blanket in Charcoal,The Stone Blanket in Charcoal,630231,,,,,,,,,,,,,,20.8,,,,,,,,,,,,,630231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STN02BU,The Stone Blanket in Blue,The Stone Blanket in Blue,630291,,,,,,,,,,,,,,20.8,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STN03DN,The Stone Blanket in Ice,The Stone Blanket in Ice,630231,,,,,,,,,,,,,,20.8,,,,,,,,,,,,,630231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDY01PS,The Pastel Tie Dye,The Pastel Tie Dye,630291,,,,,,,,,,,,,,8.25,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TID01CH,The Charcoal Tides XL,The Charcoal Tides XL,630291,,,,,,,,,,,,,,7.95,,,,,,,,,,,,,630291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
